,Delta,L,l_a,dx,dy,alpha,beta,gamma,phi_f,H_b,f_H,N_aqt,f_aqt,l_conf,N_pal,s_pal,l_tra,t_tra,N_chan,l_surf_end,Kaqf_type,Kaqt_type,R,riv_res,Kh_aqf,Kh_Kv,index,n,Kv_aqt
48,Red River,335840.31196757447,0.4044788762008115,1000,1000,5e-05,0.000354,0.0225,0.8304349371762603,150,0.26666666699999997,1,0.3,1.0,2,0.6,0.8,9000.0,3,0.078571429,max,max,0.0002898275349237889,51.26209742377916,29.4,10.0,52,0.155,0.00864
49,Red River,335840.31196757447,0.4044788762008115,1000,1000,5e-05,0.000354,0.0225,0.8304349371762603,150,0.26666666699999997,1,0.3,1.0,2,0.6,0.8,9000.0,3,0.078571429,max,min,0.0002898275349237889,51.26209742377916,29.4,10.0,52,0.155,8.64e-07
50,Red River,335840.31196757447,0.4044788762008115,1000,1000,5e-05,0.000354,0.0225,0.8304349371762603,150,0.26666666699999997,1,0.3,1.0,2,0.6,0.8,9000.0,3,0.078571429,max,mid_0,0.0002898275349237889,51.26209742377916,29.4,10.0,52,0.155,8.639999999999999e-05
51,Red River,335840.31196757447,0.4044788762008115,1000,1000,5e-05,0.000354,0.0225,0.8304349371762603,150,0.26666666699999997,1,0.3,1.0,2,0.6,0.8,9000.0,3,0.078571429,mid_0,max,0.0002898275349237889,51.26209742377916,12.026969693152134,10.0,83,0.155,0.00864
52,Red River,335840.31196757447,0.4044788762008115,1000,1000,5e-05,0.000354,0.0225,0.8304349371762603,150,0.26666666699999997,1,0.3,1.0,2,0.6,0.8,9000.0,3,0.078571429,mid_0,min,0.0002898275349237889,51.26209742377916,12.026969693152134,10.0,83,0.155,8.64e-07
53,Red River,335840.31196757447,0.4044788762008115,1000,1000,5e-05,0.000354,0.0225,0.8304349371762603,150,0.26666666699999997,1,0.3,1.0,2,0.6,0.8,9000.0,3,0.078571429,mid_0,mid_0,0.0002898275349237889,51.26209742377916,12.026969693152134,10.0,83,0.155,8.639999999999999e-05
54,Ganges-Brahmaputra,534569.9985902407,0.6258675187020657,2000,2000,9e-05,0.0005,0.026,0.9857633304539348,500,0.5,50,0.75,1.0,30,0.6,0.1,7000.0,4,0.545454545,min,max,0.0006126826258349423,51.26209742377916,17.3,10.0,5,0.25,0.00778
55,Ganges-Brahmaputra,534569.9985902407,0.6258675187020657,2000,2000,9e-05,0.0005,0.026,0.9857633304539348,500,0.5,50,0.75,1.0,30,0.6,0.1,7000.0,4,0.545454545,min,min,0.0006126826258349423,51.26209742377916,17.3,10.0,5,0.25,0.0008640000000000001
56,Ganges-Brahmaputra,534569.9985902407,0.6258675187020657,2000,2000,9e-05,0.0005,0.026,0.9857633304539348,500,0.5,50,0.75,1.0,30,0.6,0.1,7000.0,4,0.545454545,min,mid_0,0.0006126826258349423,51.26209742377916,17.3,10.0,5,0.25,0.0025926665809548268
57,Ganges-Brahmaputra,534569.9985902407,0.6258675187020657,2000,2000,9e-05,0.0005,0.026,0.9857633304539348,500,0.5,50,0.75,1.0,30,0.6,0.1,7000.0,4,0.545454545,max,max,0.0006126826258349423,51.26209742377916,69.1,10.0,36,0.25,0.00778
58,Ganges-Brahmaputra,534569.9985902407,0.6258675187020657,2000,2000,9e-05,0.0005,0.026,0.9857633304539348,500,0.5,50,0.75,1.0,30,0.6,0.1,7000.0,4,0.545454545,max,min,0.0006126826258349423,51.26209742377916,69.1,10.0,36,0.25,0.0008640000000000001
59,Ganges-Brahmaputra,534569.9985902407,0.6258675187020657,2000,2000,9e-05,0.0005,0.026,0.9857633304539348,500,0.5,50,0.75,1.0,30,0.6,0.1,7000.0,4,0.545454545,max,mid_0,0.0006126826258349423,51.26209742377916,69.1,10.0,36,0.25,0.0025926665809548268
60,Ganges-Brahmaputra,534569.9985902407,0.6258675187020657,2000,2000,9e-05,0.0005,0.026,0.9857633304539348,500,0.5,50,0.75,1.0,30,0.6,0.1,7000.0,4,0.545454545,mid_0,max,0.0006126826258349423,51.26209742377916,34.57499096167632,10.0,67,0.25,0.00778
61,Ganges-Brahmaputra,534569.9985902407,0.6258675187020657,2000,2000,9e-05,0.0005,0.026,0.9857633304539348,500,0.5,50,0.75,1.0,30,0.6,0.1,7000.0,4,0.545454545,mid_0,min,0.0006126826258349423,51.26209742377916,34.57499096167632,10.0,67,0.25,0.0008640000000000001
62,Ganges-Brahmaputra,534569.9985902407,0.6258675187020657,2000,2000,9e-05,0.0005,0.026,0.9857633304539348,500,0.5,50,0.75,1.0,30,0.6,0.1,7000.0,4,0.545454545,mid_0,mid_0,0.0006126826258349423,51.26209742377916,34.57499096167632,10.0,67,0.25,0.0025926665809548268
63,Yellow River,380576.1155652792,0.4744809465960968,1000,1000,0.001,0.00015,0.005,0.8034765261323131,300,0.0,5,0.2,0.6,2,0.6,0.2,6000.0,1,0.0,min,max,0.0002898275349237889,51.26209742377916,1.8,10.0,30,0.25,0.02
64,Yellow River,380576.1155652792,0.4744809465960968,1000,1000,0.001,0.00015,0.005,0.8034765261323131,300,0.0,5,0.2,0.6,2,0.6,0.2,6000.0,1,0.0,min,min,0.0002898275349237889,51.26209742377916,1.8,10.0,30,0.25,0.00018
65,Yellow River,380576.1155652792,0.4744809465960968,1000,1000,0.001,0.00015,0.005,0.8034765261323131,300,0.0,5,0.2,0.6,2,0.6,0.2,6000.0,1,0.0,min,mid_0,0.0002898275349237889,51.26209742377916,1.8,10.0,30,0.25,0.0018973665961010285
66,Yellow River,380576.1155652792,0.4744809465960968,1000,1000,0.001,0.00015,0.005,0.8034765261323131,300,0.0,5,0.2,0.6,2,0.6,0.2,6000.0,1,0.0,max,max,0.0002898275349237889,51.26209742377916,200.0,10.0,61,0.25,0.02
67,Yellow River,380576.1155652792,0.4744809465960968,1000,1000,0.001,0.00015,0.005,0.8034765261323131,300,0.0,5,0.2,0.6,2,0.6,0.2,6000.0,1,0.0,max,min,0.0002898275349237889,51.26209742377916,200.0,10.0,61,0.25,0.00018
68,Yellow River,380576.1155652792,0.4744809465960968,1000,1000,0.001,0.00015,0.005,0.8034765261323131,300,0.0,5,0.2,0.6,2,0.6,0.2,6000.0,1,0.0,max,mid_0,0.0002898275349237889,51.26209742377916,200.0,10.0,61,0.25,0.0018973665961010285
69,Yellow River,380576.1155652792,0.4744809465960968,1000,1000,0.001,0.00015,0.005,0.8034765261323131,300,0.0,5,0.2,0.6,2,0.6,0.2,6000.0,1,0.0,mid_0,max,0.0002898275349237889,51.26209742377916,18.973665961010276,10.0,92,0.25,0.02
70,Yellow River,380576.1155652792,0.4744809465960968,1000,1000,0.001,0.00015,0.005,0.8034765261323131,300,0.0,5,0.2,0.6,2,0.6,0.2,6000.0,1,0.0,mid_0,min,0.0002898275349237889,51.26209742377916,18.973665961010276,10.0,92,0.25,0.00018
71,Yellow River,380576.1155652792,0.4744809465960968,1000,1000,0.001,0.00015,0.005,0.8034765261323131,300,0.0,5,0.2,0.6,2,0.6,0.2,6000.0,1,0.0,mid_0,mid_0,0.0002898275349237889,51.26209742377916,18.973665961010276,10.0,92,0.25,0.0018973665961010285
72,Rhone,108056.67514173462,0.42684657347782856,500,500,0.00011,0.00133,0.0267,1.4367655820574183,100,0.2,1,0.1,0.8,2,0.6,0.5,6000.0,1,0.0,min,max,0.0002898275349237889,51.26209742377916,0.64,10.0,23,0.25,0.15000000000000002
73,Rhone,108056.67514173462,0.42684657347782856,500,500,0.00011,0.00133,0.0267,1.4367655820574183,100,0.2,1,0.1,0.8,2,0.6,0.5,6000.0,1,0.0,min,min,0.0002898275349237889,51.26209742377916,0.64,10.0,23,0.25,7.775000000000001e-06
74,Rhone,108056.67514173462,0.42684657347782856,500,500,0.00011,0.00133,0.0267,1.4367655820574183,100,0.2,1,0.1,0.8,2,0.6,0.5,6000.0,1,0.0,min,mid_0,0.0002898275349237889,51.26209742377916,0.64,10.0,23,0.25,0.0010799305533227594
75,Rhone,108056.67514173462,0.42684657347782856,500,500,0.00011,0.00133,0.0267,1.4367655820574183,100,0.2,1,0.1,0.8,2,0.6,0.5,6000.0,1,0.0,max,max,0.0002898275349237889,51.26209742377916,1060.0,10.0,54,0.25,0.15000000000000002
76,Rhone,108056.67514173462,0.42684657347782856,500,500,0.00011,0.00133,0.0267,1.4367655820574183,100,0.2,1,0.1,0.8,2,0.6,0.5,6000.0,1,0.0,max,min,0.0002898275349237889,51.26209742377916,1060.0,10.0,54,0.25,7.775000000000001e-06
77,Rhone,108056.67514173462,0.42684657347782856,500,500,0.00011,0.00133,0.0267,1.4367655820574183,100,0.2,1,0.1,0.8,2,0.6,0.5,6000.0,1,0.0,max,mid_0,0.0002898275349237889,51.26209742377916,1060.0,10.0,54,0.25,0.0010799305533227594
78,Rhone,108056.67514173462,0.42684657347782856,500,500,0.00011,0.00133,0.0267,1.4367655820574183,100,0.2,1,0.1,0.8,2,0.6,0.5,6000.0,1,0.0,mid_0,max,0.0002898275349237889,51.26209742377916,26.046112953759547,10.0,85,0.25,0.15000000000000002
79,Rhone,108056.67514173462,0.42684657347782856,500,500,0.00011,0.00133,0.0267,1.4367655820574183,100,0.2,1,0.1,0.8,2,0.6,0.5,6000.0,1,0.0,mid_0,min,0.0002898275349237889,51.26209742377916,26.046112953759547,10.0,85,0.25,7.775000000000001e-06
80,Rhone,108056.67514173462,0.42684657347782856,500,500,0.00011,0.00133,0.0267,1.4367655820574183,100,0.2,1,0.1,0.8,2,0.6,0.5,6000.0,1,0.0,mid_0,mid_0,0.0002898275349237889,51.26209742377916,26.046112953759547,10.0,85,0.25,0.0010799305533227594
81,Po,255804.37191750322,0.21815253390391645,1000,1000,4e-05,0.0004,0.0133,1.2890645708947202,1000,0.3,10,0.5,0.0,2,0.6,0.428571429,6000.0,1,0.0,min,max,0.00042399999999999984,51.26209742377916,0.0864,10.0,20,0.25,0.0008640000000000001
82,Po,255804.37191750322,0.21815253390391645,1000,1000,4e-05,0.0004,0.0133,1.2890645708947202,1000,0.3,10,0.5,0.0,2,0.6,0.428571429,6000.0,1,0.0,min,min,0.00042399999999999984,51.26209742377916,0.0864,10.0,20,0.25,8.64e-06
83,Po,255804.37191750322,0.21815253390391645,1000,1000,4e-05,0.0004,0.0133,1.2890645708947202,1000,0.3,10,0.5,0.0,2,0.6,0.428571429,6000.0,1,0.0,min,mid_0,0.00042399999999999984,51.26209742377916,0.0864,10.0,20,0.25,8.639999999999999e-05
84,Po,255804.37191750322,0.21815253390391645,1000,1000,4e-05,0.0004,0.0133,1.2890645708947202,1000,0.3,10,0.5,0.0,2,0.6,0.428571429,6000.0,1,0.0,max,max,0.00042399999999999984,51.26209742377916,86.4,10.0,51,0.25,0.0008640000000000001
