,Delta,L,l_a,alpha,beta,gamma,phi,H_b,H_a/H_b,N_aqt,Mud/Total,l_conf,N_pal,s_pal,l_tra,t_max,N_chan,l_sal,Kaqf_type,Kaqt_type,Recharge,riv_c,n,Anisotropy,Kaqf,index,Kaqt
39,Yangtze,740.0,0.32432432432432434,6e-05,0.0003,0.005,0.9603500592070539,250,0.2,4.0,0.5,1.0,2.0,0.6,1.0,7000.0,1,0.125,max,min,0.0002898275349237889,51.262046943365384,0.25,10.0,15.0,60,1e-06
40,Yangtze,740.0,0.32432432432432434,6e-05,0.0003,0.005,0.9603500592070539,250,0.2,4.0,0.5,1.0,2.0,0.6,1.0,7000.0,1,0.125,max,max,0.0002898275349237889,51.262046943365384,0.25,10.0,15.0,60,2e-05
41,Yangtze,740.0,0.32432432432432434,6e-05,0.0003,0.005,0.9603500592070539,250,0.2,4.0,0.5,1.0,2.0,0.6,1.0,7000.0,1,0.125,max,mid_0,0.0002898275349237889,51.262046943365384,0.25,10.0,15.0,60,4.47213595499958e-06
42,Yangtze,740.0,0.32432432432432434,6e-05,0.0003,0.005,0.9603500592070539,250,0.2,4.0,0.5,1.0,2.0,0.6,1.0,7000.0,1,0.125,mid_0,min,0.0002898275349237889,51.262046943365384,0.25,10.0,7.745966692414836,91,1e-06
43,Yangtze,740.0,0.32432432432432434,6e-05,0.0003,0.005,0.9603500592070539,250,0.2,4.0,0.5,1.0,2.0,0.6,1.0,7000.0,1,0.125,mid_0,max,0.0002898275349237889,51.262046943365384,0.25,10.0,7.745966692414836,91,2e-05
44,Yangtze,740.0,0.32432432432432434,6e-05,0.0003,0.005,0.9603500592070539,250,0.2,4.0,0.5,1.0,2.0,0.6,1.0,7000.0,1,0.125,mid_0,mid_0,0.0002898275349237889,51.262046943365384,0.25,10.0,7.745966692414836,91,4.47213595499958e-06
45,Red River,640.0,0.21875,5e-05,0.000354,0.0225,0.8693404302984896,150,0.26666666666666666,1.0,0.3,1.0,2.0,0.6,0.8,9000.0,3,0.07857142857142857,min,min,0.0002898275349237889,51.262046943365384,0.155,10.0,4.9248,21,8.639999999999999e-07
46,Red River,640.0,0.21875,5e-05,0.000354,0.0225,0.8693404302984896,150,0.26666666666666666,1.0,0.3,1.0,2.0,0.6,0.8,9000.0,3,0.07857142857142857,min,max,0.0002898275349237889,51.262046943365384,0.155,10.0,4.9248,21,0.00864
47,Red River,640.0,0.21875,5e-05,0.000354,0.0225,0.8693404302984896,150,0.26666666666666666,1.0,0.3,1.0,2.0,0.6,0.8,9000.0,3,0.07857142857142857,min,mid_0,0.0002898275349237889,51.262046943365384,0.155,10.0,4.9248,21,8.639999999999999e-05
48,Red River,640.0,0.21875,5e-05,0.000354,0.0225,0.8693404302984896,150,0.26666666666666666,1.0,0.3,1.0,2.0,0.6,0.8,9000.0,3,0.07857142857142857,max,min,0.0002898275349237889,51.262046943365384,0.155,10.0,29.376,52,8.639999999999999e-07
49,Red River,640.0,0.21875,5e-05,0.000354,0.0225,0.8693404302984896,150,0.26666666666666666,1.0,0.3,1.0,2.0,0.6,0.8,9000.0,3,0.07857142857142857,max,max,0.0002898275349237889,51.262046943365384,0.155,10.0,29.376,52,0.00864
50,Red River,640.0,0.21875,5e-05,0.000354,0.0225,0.8693404302984896,150,0.26666666666666666,1.0,0.3,1.0,2.0,0.6,0.8,9000.0,3,0.07857142857142857,max,mid_0,0.0002898275349237889,51.262046943365384,0.155,10.0,29.376,52,8.639999999999999e-05
51,Red River,640.0,0.21875,5e-05,0.000354,0.0225,0.8693404302984896,150,0.26666666666666666,1.0,0.3,1.0,2.0,0.6,0.8,9000.0,3,0.07857142857142857,mid_0,min,0.0002898275349237889,51.262046943365384,0.155,10.0,12.027922713419805,83,8.639999999999999e-07
52,Red River,640.0,0.21875,5e-05,0.000354,0.0225,0.8693404302984896,150,0.26666666666666666,1.0,0.3,1.0,2.0,0.6,0.8,9000.0,3,0.07857142857142857,mid_0,max,0.0002898275349237889,51.262046943365384,0.155,10.0,12.027922713419805,83,0.00864
53,Red River,640.0,0.21875,5e-05,0.000354,0.0225,0.8693404302984896,150,0.26666666666666666,1.0,0.3,1.0,2.0,0.6,0.8,9000.0,3,0.07857142857142857,mid_0,mid_0,0.0002898275349237889,51.262046943365384,0.155,10.0,12.027922713419805,83,8.639999999999999e-05
54,Ganges-Brahmaputra,530.0,0.6226415094339622,9e-05,0.0005,0.026,1.0897278309030873,500,0.5,50.0,0.75,1.0,30.0,0.6,0.1,7000.0,4,0.5454545454545454,min,min,0.0006122020472278682,51.262046943365384,0.25,10.0,17.28,5,0.000864
55,Ganges-Brahmaputra,530.0,0.6226415094339622,9e-05,0.0005,0.026,1.0897278309030873,500,0.5,50.0,0.75,1.0,30.0,0.6,0.1,7000.0,4,0.5454545454545454,min,max,0.0006122020472278682,51.262046943365384,0.25,10.0,17.28,5,0.007776
56,Ganges-Brahmaputra,530.0,0.6226415094339622,9e-05,0.0005,0.026,1.0897278309030873,500,0.5,50.0,0.75,1.0,30.0,0.6,0.1,7000.0,4,0.5454545454545454,min,mid_0,0.0006122020472278682,51.262046943365384,0.25,10.0,17.28,5,0.0025920000000000006
57,Ganges-Brahmaputra,530.0,0.6226415094339622,9e-05,0.0005,0.026,1.0897278309030873,500,0.5,50.0,0.75,1.0,30.0,0.6,0.1,7000.0,4,0.5454545454545454,max,min,0.0006122020472278682,51.262046943365384,0.25,10.0,69.12,36,0.000864
58,Ganges-Brahmaputra,530.0,0.6226415094339622,9e-05,0.0005,0.026,1.0897278309030873,500,0.5,50.0,0.75,1.0,30.0,0.6,0.1,7000.0,4,0.5454545454545454,max,max,0.0006122020472278682,51.262046943365384,0.25,10.0,69.12,36,0.007776
59,Ganges-Brahmaputra,530.0,0.6226415094339622,9e-05,0.0005,0.026,1.0897278309030873,500,0.5,50.0,0.75,1.0,30.0,0.6,0.1,7000.0,4,0.5454545454545454,max,mid_0,0.0006122020472278682,51.262046943365384,0.25,10.0,69.12,36,0.0025920000000000006
60,Ganges-Brahmaputra,530.0,0.6226415094339622,9e-05,0.0005,0.026,1.0897278309030873,500,0.5,50.0,0.75,1.0,30.0,0.6,0.1,7000.0,4,0.5454545454545454,mid_0,min,0.0006122020472278682,51.262046943365384,0.25,10.0,34.56,67,0.000864
61,Ganges-Brahmaputra,530.0,0.6226415094339622,9e-05,0.0005,0.026,1.0897278309030873,500,0.5,50.0,0.75,1.0,30.0,0.6,0.1,7000.0,4,0.5454545454545454,mid_0,max,0.0006122020472278682,51.262046943365384,0.25,10.0,34.56,67,0.007776
62,Ganges-Brahmaputra,530.0,0.6226415094339622,9e-05,0.0005,0.026,1.0897278309030873,500,0.5,50.0,0.75,1.0,30.0,0.6,0.1,7000.0,4,0.5454545454545454,mid_0,mid_0,0.0006122020472278682,51.262046943365384,0.25,10.0,34.56,67,0.0025920000000000006
